author_id,author_name,biography,works_in_library
1,"Brandon Sanderson","Brandon Sanderson (born December 19, 1975) is an American fantasy and science fiction writer. He is best known for the Cosmere universe, where most of his fantasy books are set; and for finishing Robert Jordan's fantasy series The Wheel of Time.","Elantris, Mistborn: The Final Empire, Mistborn: The Well of Ascension"
2,"Patrick Rothfuss","Patrick James Rothfuss (born June 6, 1973) is an American author. He is best known for his series The Kingkiller Chronicle, beginning with Rothfuss' debut novel, The Name of the Wind (2007), which won several awards, and continuing in the sequel, The Wise Man's Fear (2011), which topped the The New York Times Best Seller list.","The Name of the Wind"
3,"Trevor Noah","Trevor Noah (born 20 February 1984) is a South African comedian, writer, producer, political commentator, actor, and television host. He was the host of The Daily Show, an American late-night talk show and satirical news program on Comedy Central, from 2015 to 2022.","Born a Crime"
